"Date","Municipality","Trip Duration","Membership Type","No of Trips","Miles Travelled"
"1/1/2014","Alexandria, VA","3 - 4 hr","Annual","0","0"
"1/1/2014","Alexandria, VA","4 - 5 hr","24-hr Pass","2","0"
"1/1/2014","Alexandria, VA","4 - 5 hr","Annual","0","0"
"1/1/2014","Alexandria, VA","5 - 24 hr","24-hr Pass","2","0"
"1/1/2014","Alexandria, VA","5 - 24 hr","Annual","0","0"
"1/1/2014","Arlington, VA","<0.5 hr","24-hr Pass","271","0"
"1/1/2014","Arlington, VA","<0.5 hr","Annual","6492","8583"
"1/1/2014","Arlington, VA","0.5 - 1 hr","24-hr Pass","78","0"
"1/1/2014","Arlington, VA","0.5 - 1 hr","Annual","103","0"
"1/1/2014","Arlington, VA","1 - 1.5 hr","24-hr Pass","28","0"
"1/1/2014","Arlington, VA","1 - 1.5 hr","Annual","10","0"
"1/1/2014","Arlington, VA","1.5 - 2 hr","24-hr Pass","17","0"
"1/1/2014","Arlington, VA","1.5 - 2 hr","Annual","10","0"
"1/1/2014","Arlington, VA","2 - 3 hr","24-hr Pass","8","0"
"1/1/2014","Arlington, VA","2 - 3 hr","Annual","5","0"
"1/1/2014","Arlington, VA","3 - 4 hr","24-hr Pass","1","0"
"1/1/2014","Arlington, VA","3 - 4 hr","Annual","1","0"
"1/1/2014","Arlington, VA","4 - 5 hr","24-hr Pass","1","0"
"1/1/2014","Arlington, VA","4 - 5 hr","Annual","1","0"
"1/1/2014","Arlington, VA","5 - 24 hr","24-hr Pass","0","0"
"1/1/2014","Arlington, VA","5 - 24 hr","Annual","0","0"
"1/1/2014","Rest of Montgomery County","<0.5 hr","24-hr Pass","37","0"
"1/1/2014","Rest of Montgomery County","<0.5 hr","Annual","675","1456"
"1/1/2014","Rest of Montgomery County","0.5 - 1 hr","24-hr Pass","21","0"
"1/1/2014","Rest of Montgomery County","0.5 - 1 hr","Annual","19","0"
"1/1/2014","Rest of Montgomery County","1 - 1.5 hr","24-hr Pass","14","0"
"1/1/2014","Rest of Montgomery County","1 - 1.5 hr","Annual","6","0"
"1/1/2014","Rest of Montgomery County","1.5 - 2 hr","24-hr Pass","6","0"
"1/1/2014","Rest of Montgomery County","1.5 - 2 hr","Annual","0","0"
"1/1/2014","Rest of Montgomery County","2 - 3 hr","24-hr Pass","1","0"
"1/1/2014","Rest of Montgomery County","2 - 3 hr","Annual","0","0"
"1/1/2014","Rest of Montgomery County","3 - 4 hr","24-hr Pass","0","0"
"1/1/2014","Rest of Montgomery County","3 - 4 hr","Annual","0","0"
"1/1/2014","Rest of Montgomery County","4 - 5 hr","24-hr Pass","0","0"
"1/1/2014","Rest of Montgomery County","4 - 5 hr","Annual","1","0"
"1/1/2014","Rest of Montgomery County","5 - 24 hr","24-hr Pass","3","0"
"1/1/2014","Rest of Montgomery County","5 - 24 hr","Annual","2","0"
"1/1/2014","Rockville/Shady Grove","<0.5 hr","24-hr Pass","37","0"
"1/1/2014","Rockville/Shady Grove","<0.5 hr","Annual","81","218"
"1/1/2014","Rockville/Shady Grove","0.5 - 1 hr","24-hr Pass","4","0"
"1/1/2014","Rockville/Shady Grove","0.5 - 1 hr","Annual","6","0"
"1/1/2014","Rockville/Shady Grove","1 - 1.5 hr","24-hr Pass","2","0"
"1/1/2014","Rockville/Shady Grove","1 - 1.5 hr","Annual","1","0"
"1/1/2014","Rockville/Shady Grove","1.5 - 2 hr","24-hr Pass","0","0"
"1/1/2014","Rockville/Shady Grove","1.5 - 2 hr","Annual","0","0"
"1/1/2014","Rockville/Shady Grove","2 - 3 hr","24-hr Pass","0","0"
"1/1/2014","Rockville/Shady Grove","2 - 3 hr","Annual","0","0"
"1/1/2014","Rockville/Shady Grove","3 - 4 hr","24-hr Pass","0","0"
"1/1/2014","Rockville/Shady Grove","3 - 4 hr","Annual","0","0"
"1/1/2014","Rockville/Shady Grove","4 - 5 hr","24-hr Pass","0","0"
"1/1/2014","Rockville/Shady Grove","4 - 5 hr","Annual","0","0"
"1/1/2014","Rockville/Shady Grove","5 - 24 hr","24-hr Pass","0","0"
"1/1/2014","Rockville/Shady Grove","5 - 24 hr","Annual","0","0"
"1/1/2014","Washington, DC","<0.5 hr","24-hr Pass","5623","0"
"1/1/2014","Washington, DC","<0.5 hr","Annual","96754","147452"
"1/1/2014","Washington, DC","0.5 - 1 hr","24-hr Pass","1230","0"
"1/1/2014","Washington, DC","0.5 - 1 hr","Annual","822","0"
